name,url,current_price,original_price,discount_pct,rating,review_count
Smartraha life RahaLife 130CM 3 Column Metallic Wardrobe-Black,https://www.jumia.co.ke/smartraha-life-rahalife-130cm-3-column-metallic-wardrobe-black-325847678.html,1639,4500,64,4.0,4
Hisense WSQB753W 7.5Kg Twin Tub Top Load Washing Machine - White (2YRS WRTY),https://www.jumia.co.ke/hisense-wsqb753w-7.5kg-twin-tub-top-load-washing-machine-white-2yrs-wrty-284340554.html,17280,26199,34,4.4,4
Nunix 5 Layer Shoe Rack – black,https://www.jumia.co.ke/nunix-5-layer-shoe-rack-black-184490839.html,600,,,3.7,3
Nunix Nunix Aluminium Pressure Cooker - Explosion Proof - 4 Litres - Silver,https://www.jumia.co.ke/nunix-nunix-aluminium-pressure-cooker-explosion-proof-4-litres-silver-169297388.html,1999,,,3.9,3
Hisense H20MOMS11 - 20 Liters Microwave - White (2YRs WRTY),https://www.jumia.co.ke/hisense-h20moms11-20-liters-microwave-white-2yrs-wrty-315502918.html,7280,12399,41,4.3,4
"Em BD01 Blender 2 In 1 Grinding Machine With Durable Motor 1.5L, White (1YR WRTY)",https://www.jumia.co.ke/em-bd01-blender-2-in-1-grinding-machine-with-durable-motor-1.5l-white-1yr-wrty-279444688.html,1399,2699,48,3.7,3
Portable USB Rechargeable Wireless Water Dispenser Electric Water Pump Drinking Water Bottle,https://www.jumia.co.ke/generic-portable-usb-rechargeable-wireless-water-dispenser-electric-water-pump-drinking-water-bottle-325263078.html,460,1340,66,4.2,4
Mythco 46Pcs Socket Wrench Set - Auto Repair Tool Kit Black Ratchet,https://www.jumia.co.ke/mythco-46pcs-socket-wrench-set-auto-repair-tool-kit-black-ratchet-190325324.html,870,1668,48,3.9,3
"Em  Electromate 1000W Dry Iron box- Plastic, 5-Gear Temperature Control, Non-Stick Soleplate GREY IR01G",https://www.jumia.co.ke/em-electromate-1000w-dry-iron-box-plastic-5-gear-temperature-control-non-stick-soleplate-grey-ir01g-328069214.html,649,1499,57,4.2,4
Em 6L Single Tank Energy Efficient Double Electric Chips /Chicken /Mandazi Deep Fryer Machine _ Silver EF01 (1 YR WRTY),https://www.jumia.co.ke/em-6l-single-tank-energy-efficient-double-electric-chips-chicken-mandazi-deep-fryer-machine-silver-ef01-1-yr-wrty-325747781.html,2888,7999,64,3.9,3
Smartraha life RahaLife 105CM 3 Column Portable Fabric Cloth Wardrobe Wardrobe - Navy 8 Shelves & Hanging Section,https://www.jumia.co.ke/smartraha-life-rahalife-105cm-3-column-portable-fabric-cloth-wardrobe-wardrobe-navy-8-shelves-hanging-section-326499620.html,1619,4099,61,3.6,3
HOMMY 1 Pair  plus 1 free pure white -fibre filled pillow,https://www.jumia.co.ke/hommy-1-pair-plus-1-free-pure-white-fibre-filled-pillow-325385301.html,729,1500,51,4.0,4
